,LOGRECNO,BLOCK,NAME,HU100,INTPTLAT,INTPTLON,H0030001,H0030002,H0030003,H0060001,H0060002,H0060003,H0060004,H0060005,H0060006,H0060007,H0060008
1003,132343,1004,Block 1004,27,33.7656732,-84.413214,27,11,16,11,0,9,0,0,0,0,2
1004,132344,1005,Block 1005,110,33.7653146,-84.4118866,110,34,76,34,0,34,0,0,0,0,0
1005,132345,1006,Block 1006,29,33.7653166,-84.4105751,29,15,14,15,0,15,0,0,0,0,0
1006,132346,1007,Block 1007,31,33.7651379,-84.4094129,31,13,18,13,0,13,0,0,0,0,0
1007,132347,1008,Block 1008,10,33.7638451,-84.409434,10,2,8,2,0,2,0,0,0,0,0
1008,132348,1009,Block 1009,5,33.7638428,-84.4105999,5,4,1,4,0,4,0,0,0,0,0
1009,132349,1010,Block 1010,9,33.7638456,-84.4118996,9,6,3,6,0,6,0,0,0,0,0
1010,132350,1011,Block 1011,22,33.7641959,-84.4132318,22,12,10,12,0,10,0,0,0,0,2
1011,132352,2000,Block 2000,38,33.7691659,-84.4149993,38,19,19,19,0,18,0,0,0,1,0
1012,132353,2001,Block 2001,15,33.7693833,-84.4159911,15,10,5,10,0,10,0,0,0,0,0
1013,132354,2002,Block 2002,47,33.7682433,-84.4169564,47,19,28,19,0,18,0,0,0,0,1
